"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Tiger Orange","Wade Gasque","Mark Strano Frankie Valenti Gregory Marcel","Drama","Picture Stable Wolfe Video"
"Wish I Was Here","Zach Braff","Zach Braff Kate Hudson Joey King Josh Gad","Comedy-drama","Focus Features"
"And So It Goes","Rob Reiner","Michael Douglas Diane Keaton Sterling Jernis Annie Parisse","Romantic comedy","Clarius Entertainment"
"Happy Christmas","Joe Swanberg","Anna Kendrick Lena Dunham Melanie Lynskey","Drama","Magnolia Pictures"
"Hercules","Brett Ratner","Dwayne Johnson Ian McShane Rufus Sewell Joseph Fiennes","Action","Paramount Pictures Based on the novel of the same name"
"Magic in the Moonlight","Woody Allen","Colin Firth Emma Stone Hamish Linklater Jacki Weaver","Romantic comedy","Sony Pictures"
"My Man Is a Loser","Mike Young","John Stamos Michael Rapaport Tika Sumpter","Comedy","Lions Gate Entertainment"
"Get on Up","Tate Taylor","Chadwick Boseman Nelsan Ellis Dan Aykroyd Octavia Spencer","Drama","Universal Pictures"
"Guardians of the Galaxy","James Gunn","Vin Diesel Dave Bautista Zoe Saldana Chris Pratt Bradley Cooper","Superhero","Walt Disney Studios Motion Pictures Based on the Superhero team"
"Mercenaries","Christopher Douglas Ray","Brigitte Nielsen Tim Abell Cynthia Rothrock Kristanna Loken","Action","The Asylum"
"4 Minute Mile","Charles-Olivier Michaud","Analeigh Tipton Cam Gigandet Kim Basinger Kelly Blatz","Drama","Gravitas Ventures"
"The Hundred-Foot Journey","Lasse Hallström","Helen Mirren Om Puri Manish Dayal Charlotte Le Bon","Comedy","Walt Disney Based on the 2010 novel of the same name by Richard Morais"
"Into the Storm","Steven Quale","Richard Armitage Sarah Wayne Callies Nathan Kress Alycia Debnam-Carey","Disaster","Warner Bros."
"Step Up: All In","Trish Sie","Ryan Guzman Briana Evigan Misha Gabriel Alyson Stoner","Dance","Lions Gate Entertainment Sequel to Step Up Revolution (2012)"
"Teenage Mutant Nina Turtles","Jonathan Liebesman","Megan Fox Alan Ritchson Will Arnett Noel Fisher","Science fiction","Paramount Pictures Based on the franchise of the same name"
"Let's Be Cops","Luke Greenfield","Damon Wayans, Jr. Jake Johnson Nina Dobrev Rob Riggle","Comedy","20th Century Fox"
"The Expendables 3","Patrick Hughes","Sylvester Stallone Jason Statham Antonio Banderas Arnold Schwarzenegger","Action","Lions Gate Entertainment Sequel to The Expendables 2 (2012)"
"The Giver","Phillip Noyce","Jeff Bridges Meryl Streep Brenton Thwaites Katie Holmes","Science fiction","The Weinstein Company Based on the novel of the same name by Lois Lowry"
"Life After Beth","Jeff Baena","Aubrey Plaza Dane DeHaan Anna Kendrick Molly Shannon","Comedy","A24 Films"
