"Title","Director","Cast (Subject of documentary)","Genre","Note"
"Harrison Bergeron","","Sean Astin, Christopher Plummer, Eugene Levy","Drama","TV"
"Haunted","Lewis Gilbert","Aidan Quinn, Kate Beckinsale, John Gielgud","Horror",""
"Heat","Michael Mann","Al Pacino, Robert De Niro, Val Kilmer, Ashley Judd, Amy Brenneman, Tom Sizemore, Jon Voight, Wes Studi, Ted Levine, Natalie Portman, Dennis Haysbert, Hank Azaria","Crime drama, Action","Regency Enterprises"
"Heavy","James Mangold","Liv Tyler, Pruitt Taylor Vince, Shelley Winters","Drama",""
"Heavyweights","Steven Brill","Ben Stiller","Comedy",""
"Here Come The Munsters","Robert Ginty","Edward Herrmann, Veronica Hamel","Comedy","based on TV series"
"Hideaway","Brett Leonard","Jeff Goldblum, Christine Lahti, Alicia Silverstone","Comedy",""
"High on Crack Street","","","Documentary",""
"Higher Learning","John Singleton","Omar Epps, Kristy Swanson, Ice Cube, Jennifer Connelly, Michael Rapaport, Laurence Fishburne","Drama",""
"The Hills Have Eyes III","Joe Gayton","Lance Henriksen, Natasha Gregson Wagner, Giovanni Ribisi","Horror","sequel"
"Home Movies","","","",""
"Home for the Holidays","Jodie Foster","Holly Hunter, Robert Downey, Jr., Anne Bancroft, Charles Durning, Steve Guttenberg, Dylan McDermott, Cynthia Stevenson, Claire Danes","Comedy","PolyGram Films"
"Houseguest","Randall Miller","Sinbad, Phil Hartman","Comedy",""
"How to Make an American Quilt","Jocelyn Moorhouse","Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Alfre Woodard, Mykelti Williamson, Jared Leto","Drama","based on the novel by Whittney Otto"
"Howling: New Moon Rising","Clive Turner","","Horror",""
"The Hunted","J.F. Lawton","Christopher Lambert, John Lone, Joan Chen","Drama",""
"Ice Cream Man","Paul Norman","Clint Howard, Olivia Hussey","Slasher",""
"The Immortals","Brian Grant","Eric Roberts, Tia Carrere, Tony Curtis","Drama",""
"In the Mouth of Madness","John Carpenter","Sam Neill, David Warner, Jurgen Prochnow, Charlton Heston","Horror",""
"The Incredibly True Adventure of Two Girls in Love","Maria Maggenti","Laurel Holloman, Nicole Ari Parker","",""
"The Indian in the Cupboard","Frank Oz","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins, Rishi Bhat, Steve Coogan, David Keith","Fantasy",""
"Indictment: The McMartin Trial","Mick Jackson","James Woods, Mercedes Ruehl, Henry Thomas, Lolita Davidovich, Shirley Knight, Sada Thompson","Drama, Biography","HBO; won 3 Emmy Awards, 1 Golden Globe"
"The Infiltrator","John Mackenzie","Oliver Platt, Arliss Howard","Drama",""
"It Takes Two","Andy Tennant","Mary-Kate Olsen, Ashley Olsen, Kirstie Alley, Steve Guttenberg","Comedy",""
"Jack-O","Steve Latshaw","","Horror",""
"Jade","William Friedkin","David Caruso, Chazz Palminteri, Linda Fiorentino, Angie Everhart, Michael Biehn, Richard Crenna","Thriller","2 Razzie nominations"
"Jefferson in Paris","James Ivory","Nick Nolte, Thandie Newton","Drama, Biography",""
"Jeffrey","Christopher Ashley","Steven Weber, Patrick Stewart","Drama","based on Paul Rudnick play"
"The Jerky Boys: The Movie","James Melkonian","The Jerky Boys, Alan Arkin","Comedy",""
"Johnny Mnemonic","Robert Longo","Keanu Reeves, Dolph Lundgren, Dina Meyer, Ice-T","Science fiction",""
"Joseph","","","Drama","Germany"
"Josh Kirby... Time Warrior!","3 Directors","Corbin Allred","Family, Science fiction","6 parts"
"Judge Dredd","Danny Cannon","Sylvester Stallone, Armand Assante, Diane Lane, Rob Schneider, Max von Sydow, Jurgen Prochnow, Joan Chen","Science fiction","based on comic strip"
"Jumanji","Joe Johnston","Robin Williams, Bonnie Hunt, Kirsten Dunst, Bradley Pierce, Jonathan Hyde, David Alan Grier, Bebe Neuwirth","Family, Fantasy",""
"Jury Duty","John Fortenberry","Pauly Shore, Tia Carrere, Abe Vigoda","Comedy","Razzie for Shore"
"Just Cause","Arne Glimcher","Sean Connery, Laurence Fishburne, Kate Capshaw, Blair Underwood","Crime drama","based on a novel by John Katzenbach"
"Kicking and Screaming","Noah Baumbach","Josh Hamilton, Olivia d'Abo","Drama",""
"A Kid in King Arthur's Court","Michael Gottlieb","Thomas Ian Nicholas, Joss Ackland","Comedy","based on a story by Mark Twain"
"Kidnapped","Ivan Passer","Armand Assante","Adventure","based on a novel by Robert Louis Stevenson"
"Kids","Larry Clark","Chloë Sevigny, Rosario Dawson","Drama",""
"Kiss of Death","Barbet Schroeder","David Caruso, Nicolas Cage, Samuel L. Jackson, Helen Hunt, Kathryn Erbe, Michael Rapaport, Ving Rhames, Anne Meara, Stanley Tucci","Crime drama","remake of 1947 film"
"The Land Before Time III: The Time of the Great Giving","Roy Allen Smith","voices of Scott McAfee, Candace Hutson","Animated film","sequel"
"The Last Supper","Stacy Title","Cameron Diaz, Ron Eldard, Annabeth Gish, Courtney B. Vance","Drama","Grossed under $500,000"
"Last of the Dogmen","Tab Murphy","Tom Berenger, Barbara Hershey","Adventure",""
"Leaving Las Vegas","Mike Figgis","Nicolas Cage, Elisabeth Shue","Drama","Oscar for Cage"
