Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Daniel Stamm,Huck Botko,Andrew Gurland,Patrick Fabian,Ashley Bell,Iris Bahr,17,N,72,34,4.0990055E7,Drama,Horror,Thriller,no
Matt Reeves,Matt Reeves,John Ajvide Lindqvist,Kodi Smit-McPhee,Chloë Grace Moretz,Richard Jenkins,42,N,88,76,1.213442E7,Drama,Horror,Mystery,no
Ethan Maniquis,Robert Rodriguez,�?lvaro Rodríguez,Danny Trejo,Robert De Niro,Jessica Alba,8,N,72,63,2.62E7,Action,Crime,Thriller,no
Tom McGrath,Alan Schoolcraft,Brent Simons,Will Ferrell,Brad Pitt,Tina Fey,18,N,73,72,1.48244405E8,Animation,Action,Comedy,no
Roger Michell,Aline Brosh McKenna, ,Rachel McAdams,Noah Bean,Jack Davidson,4,N,56,51,3.0982329E7,Comedy,Drama,Romance,no
Susanna White,Emma Thompson,Christianna Brand,Maggie Gyllenhaal,Oscar Steer,Asa Butterfield,4,N,75,55,2.899545E7,Comedy,Family,Fantasy,no
Mark Romanek,Kazuo Ishiguro,Alex Garland,Carey Mulligan,Andrew Garfield,Izzy Meikle-Small,33,N,71,70,2412045.0,Drama,Romance,Sci-Fi,no
Tanya Hamilton,Tanya Hamilton, ,Anthony Mackie,Jamara Griffin,Sadiq Afif,26,N,81,66,75343.0,Drama,Romance, ,no
Adam McKay,Adam McKay,Chris Henchy,Will Ferrell,Derek Jeter,Mark Wahlberg,17,N,78,59,1.19219978E8,Action,Comedy,Crime,no
Tod Williams,Michael R. Perry,Christopher Landon,David Bierend,Brian Boland,Molly Ephraim,3,N,58,48,8.4747727E7,Horror, , ,no
Nicole Holofcener,Nicole Holofcener, ,Rebecca Hall,Elizabeth Keener,Elise Ivy,21,N,86,64,4033268.0,Comedy,Drama, ,no
Nimród Antal,Alex Litvak,Michael Finch,Adrien Brody,Topher Grace,Alice Braga,6,N,64,51,5.2000688E7,Action,Adventure,Sci-Fi,no
John Cameron Mitchell,David Lindsay-Abaire,David Lindsay-Abaire,Nicole Kidman,Aaron Eckhart,Dianne Wiest,48,N,86,72,2221809.0,Drama, , ,no
Elizabeth Allen Rosenbaum,Laurie Craig,Nick Pustay,Joey King,Selena Gomez,John Corbett,4,N,70,71,2.6161406E7,Adventure,Comedy,Family,no
Robert Schwentke,Jon Hoeber,Erich Hoeber,Bruce Willis,Mary-Louise Parker,Heidi von Palleske,21,Y,71,72,8.89E7,Action,Comedy,Crime,yesComedy
Floria Sigismondi,Floria Sigismondi,Cherie Currie,Kristen Stewart,Dakota Fanning,Michael Shannon,5,N,68,55,3600000.0,Biography,Drama,Music,no
Phillip Noyce,Kurt Wimmer, ,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,21,N,62,59,1.18311368E8,Action,Crime,Mystery,no
Edgar Wright,Michael Bacall,Edgar Wright,Michael Cera,Alison Pill,Mark Webber,75,N,81,83,3.149427E7,Action,Comedy,Fantasy,no
Randall Wallace,Mike Rich,William Nack,Diane Lane,John Malkovich,Dylan Walsh,9,N,63,76,5.9699513E7,Biography,Drama,Family,no
Jim Field Smith,Sean Anders,John Morris,Jay Baruchel,Alice Eve,T.J. Miller,1,N,58,59,2.8712974E7,Comedy,Romance, ,no
Mike Mitchell,William Steig,Josh Klausner,Mike Myers,Eddie Murphy,Cameron Diaz,13,N,58,54,2.38319043E8,Animation,Adventure,Comedy,no
Martin Scorsese,Laeta Kalogridis,Dennis Lehane,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,67,N,68,76,1.25001E8,Mystery,Thriller, ,no
Ryan Craig,Ryan Craig, ,Shawn Christian,Chris Pine,Bre Blair,0,N,N/A,25, ,Drama, , ,no
David Fincher,Aaron Sorkin,Ben Mezrich,Jesse Eisenberg,Rooney Mara,Bryan Barter,326,N,96,86,9.64E7,Biography,Drama, ,yesDrama
Sofia Coppola,Sofia Coppola, ,Stephen Dorff,Chris Pontius,Erin Wasson,11,N,71,47,1768416.0,Comedy,Drama, ,no
Nathan Greno,Dan Fogelman,Jacob Grimm,Mandy Moore,Zachary Levi,Donna Murphy,49,N,89,87,2.00803309E8,Animation,Adventure,Comedy,no
Ben Affleck,Peter Craig,Ben Affleck,Ben Affleck,Rebecca Hall,Jon Hamm,54,N,94,85,9.2173235E7,Crime,Drama,Thriller,no
Lee Unkrich,John Lasseter,Andrew Stanton,Tom Hanks,Tim Allen,Joan Cusack,149,N,99,89,4.14984497E8,Animation,Adventure,Comedy,no
Ethan Coen,Joel Coen,Ethan Coen,Jeff Bridges,Hailee Steinfeld,Matt Damon,195,N,96,85,1.71031347E8,Adventure,Drama,Western,no
Tony Scott,Mark Bomback, ,Denzel Washington,Chris Pine,Rosario Dawson,15,N,87,72,8.1557479E7,Action,Thriller, ,no
Oliver Stone,Allan Loeb,Stephen Schiff,Richard Stratton,Harry Kerrigan,Michael Douglas,5,N,55,44,5.2474616E7,Drama, , ,no
Jake Scott,Ken Hixon, ,James Gandolfini,Kristen Stewart,Melissa Leo,5,N,54,57,152857.0,Drama, , ,no
Dallas Jenkins,Chuck Konzelman,Andrea Gyertson Nasfell,Kevin Sorbo,Kristy Swanson,John Ratzenberger,3,N,N/A,N/A, ,Drama,Family,Fantasy,no
Debra Granik,Debra Granik,Anne Rosellini,Jennifer Lawrence,Isaiah Stone,Ashlee Thompson,185,N,94,76,6200000.0,Drama, , ,no
Steven Spielberg,Lee Hall,Richard Curtis,Jeremy Irvine,Peter Mullan,Emily Watson,92,N,76,74,7.9883359E7,Drama,War, ,yesDrama
Michel Hazanavicius,Michel Hazanavicius, ,Jean Dujardin,Bérénice Bejo,John Goodman,336,N,97,87,4.4667095E7,Comedy,Drama,Romance,yesComedy
Simon Curtis,Adrian Hodges,Colin Clark,Michelle Williams,Eddie Redmayne,Julia Ormond,80,N,83,71,1.26E7,Biography,Drama, ,yesComedy
Russ Parr,N/A, ,Tamala Jones,Nicole Ari Parker,Kevin Hart,0,N,N/A,56,113888.0,Comedy,Romance, ,no
Jonathan Levine,Will Reiser, ,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,40,N,94,88,3.5005118E7,Comedy,Drama,Romance,yesComedy
George Nolfi,George Nolfi,Philip K. Dick,Matt Damon,Emily Blunt,Lisa Thoreson,10,N,72,67,6.2453315E7,Romance,Sci-Fi,Thriller,no
Mike Cahill,Mike Cahill,Brit Marling,William Mapother,Brit Marling,Matthew-Lee Erlbach,20,N,64,66, ,Drama,Romance,Sci-Fi,no
Sarah Smith,Peter Baynham,Sarah Smith,James McAvoy,Hugh Laurie,Bill Nighy,25,N,92,76,4.6440491E7,Animation,Adventure,Comedy,no
Or Bar-El,Or Bar-El, ,N/A, , ,0,N,N/A,N/A, ,Animation,Short, ,no
Jodie Foster,Kyle Killen, ,Mel Gibson,Cherry Jones,Jodie Foster,6,N,61,55,900000.0,Drama, , ,no
Chris Weitz,Eric Eason,Roger L. Simon,Demián Bichir,Eddie 'Piolin' Sotelo,Joaquín Cosio,15,N,85,79,1754319.0,Drama,Romance, ,no
Paul Feig,Kristen Wiig,Annie Mumolo,Kristen Wiig,Terry Crews,Maya Rudolph,94,N,90,76,1.665E8,Comedy,Romance, ,yesComedy
Joe Johnston,Christopher Markus,Stephen McFeely,Chris Evans,Hayley Atwell,Sebastian Stan,46,N,80,74,1.76636816E8,Action,Adventure,Sci-Fi,no
Roman Polanski,Yasmina Reza,Yasmina Reza,Jodie Foster,Kate Winslet,Christoph Waltz,28,N,71,66,2200000.0,Comedy,Drama, ,no
Miguel Arteta,Phil Johnston, ,Ed Helms,John C. Reilly,Anne Heche,5,N,86,59,6800000.0,Comedy, , ,no
Steven Soderbergh,Scott Z. Burns, ,Gwyneth Paltrow,Tien You Chui,Josie Ho,14,N,84,62,7.5638743E7,Drama,Thriller, ,no
Jonas Stolpe,Josh Jacobs, ,Cathy Baron,Jon Briddell,Erin Campbell,0,N,N/A,N/A, ,Horror, , ,no
Alexander Payne,Alexander Payne,Nat Faxon,George Clooney,Shailene Woodley,Amara Miller,207,N,89,79,7.85E7,Comedy,Drama, ,yesDrama
Lee Tamahori,Michael Thomas,Latif Yahia,Dominic Cooper,Ludivine Sagnier,Raad Rawi,2,N,56,65,1357042.0,Biography,Drama,Thriller,no
Charles Martin Smith,Karen Janszen,Noam Dromi,Harry Connick Jr.,Ashley Judd,Nathan Gamble,6,N,81,80,6.5099999E7,Drama,Family, ,no
Nicolas Winding Refn,Hossein Amini,James Sallis,Ryan Gosling,Carey Mulligan,Bryan Cranston,237,N,92,79,3.43E7,Crime,Drama, ,no
Justin Lin,Chris Morgan,Gary Scott Thompson,Vin Diesel,Paul Walker,Jordana Brewster,27,N,77,83,2.09805005E8,Action,Crime,Thriller,no
Steven Quale,Eric Heisserer,Jeffrey Reddick,Nicholas D'Agosto,Emma Bell,Miles Fisher,6,N,62,52,4.25E7,Horror, , ,no
Craig Brewer,Dean Pitchford,Craig Brewer,Kenny Wormald,Julianne Hough,Dennis Quaid,3,N,69,61,5.1780537E7,Comedy,Drama,Music,no
Will Gluck,Keith Merryman,David A. Newman,Justin Timberlake,Mila Kunis,Patricia Clarkson,5,N,70,65,5.5802754E7,Comedy,Romance, ,no
Craig Gillespie,Marti Noxon,Tom Holland,Anton Yelchin,Colin Farrell,Toni Collette,9,N,72,59,1.8298649E7,Comedy,Horror, ,no
Miranda July,Miranda July, ,Hamish Linklater,Miranda July,David Warshofsky,6,N,71,55, ,Comedy,Drama,Romance,no
David Fincher,Steven Zaillian,Stieg Larsson,Daniel Craig,Rooney Mara,Christopher Plummer,113,N,86,86,1.02515793E8,Crime,Drama,Mystery,no
Lance Daly,John Enbom, ,Orlando Bloom,Riley Keough,Taraji P. Henson,6,N,66,31,3180.0,Drama,Thriller, ,no
Joe Wright,Seth Lochhead,David Farr,Saoirse Ronan,Eric Bana,Vicky Krieps,31,N,71,66,4.02E7,Action,Drama,Thriller,no
David Yates,Steve Kloves,J.K. Rowling,Ralph Fiennes,Michael Gambon,Alan Rickman,136,N,96,89,3.81000185E8,Adventure,Drama,Fantasy,no
Tate Taylor,Tate Taylor,Kathryn Stockett,Emma Stone,Viola Davis,Bryce Dallas Howard,192,N,75,89,1.69705587E8,Drama, , ,yesDrama
Vera Farmiga,Carolyn S. Briggs,Tim Metcalfe,Joshua Leonard,Norbert Leo Butz,Michael Chernus,8,N,81,62,841056.0,Drama, , ,no
Seth Gordon,Michael Markowitz,John Francis Daley,Jason Bateman,Steve Wiebe,Kevin Spacey,13,N,68,70,1.169E8,Comedy,Crime, ,no
Martin Scorsese,John Logan,Brian Selznick,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,235,N,94,78,7.3820094E7,Adventure,Drama,Family,yesDrama
George Clooney,George Clooney,Grant Heslov,Ryan Gosling,George Clooney,Philip Seymour Hoffman,44,N,84,72,4.0962534E7,Drama, , ,yesDrama
Salim Akil,Elizabeth Hunter,Arlene Gibbs,Angela Bassett,Paula Patton,Laz Alonso,16,N,56,59,3.7295394E7,Comedy,Drama, ,no
Jonathan Hensleigh,Jonathan Hensleigh,Jeremy Walters,Ray Stevenson,Vincent D'Onofrio,Val Kilmer,0,N,63,67,1187711.0,Biography,Crime,Drama,no
Jennifer Yuh Nelson,Jonathan Aibel,Glenn Berger,Jack Black,Angelina Jolie,Dustin Hoffman,50,N,81,74,1.65230261E8,Animation,Action,Adventure,no
Drake Doremus,Drake Doremus,Ben York Jones,Anton Yelchin,Felicity Jones,Jennifer Lawrence,15,N,72,61,3388210.0,Drama,Romance, ,no
Neil Burger,Leslie Dixon,Alan Glynn,Bradley Cooper,Robert De Niro,Abbie Cornish,9,N,70,74,7.9230923E7,Mystery,Sci-Fi,Thriller,no
Brad Furman,John Romano,Michael Connelly,Matthew McConaughey,Marisa Tomei,Ryan Phillippe,1,N,83,82,5.79E7,Crime,Drama,Thriller,no
Kenneth Lonergan,Kenneth Lonergan, ,Anna Paquin,J. Smith-Cameron,Mark Ruffalo,26,N,74,48,46495.0,Drama, , ,no
J.C. Chandor,J.C. Chandor, ,Kevin Spacey,Paul Bettany,Jeremy Irons,32,N,88,74,600000.0,Biography,Drama,History,no
Sean Durkin,Sean Durkin, ,Elizabeth Olsen,Christopher Abbott,Brady Corbet,90,N,90,71,2981038.0,Drama,Mystery,Thriller,no
Simon West,Richard Wenk,Lewis John Carlino,Jason Statham,Ben Foster,Tony Goldwyn,1,N,53,51,2.9113588E7,Action,Crime,Thriller,no
Woody Allen,Woody Allen, ,Owen Wilson,Rachel McAdams,Kurt Fuller,120,N,93,83,5.54E7,Comedy,Fantasy,Romance,yesComedy
Bennett Miller,Steven Zaillian,Aaron Sorkin,Brad Pitt,Jonah Hill,Philip Seymour Hoffman,109,N,94,86,7.5605492E7,Biography,Drama,Sport,yesDrama
James Bobin,Jason Segel,Nicholas Stoller,Jason Segel,Amy Adams,Chris Cooper,57,N,96,80,8.8625922E7,Adventure,Comedy,Family,no
Jim Kohlberg,Gwyn Lurie,Gary Marks,J.K. Simmons,Cara Seymour,Lou Taylor Pucci,1,N,65,82,258077.0,Drama, , ,no
Jesse Peretz,Jesse Peretz,Evgenia Peretz,Paul Rudd,Nick Sullivan,Francesca Papalia,0,N,68,51,2.46E7,Comedy,Drama, ,no
Henry Joost,Christopher Landon,Oren Peli,Lauren Bittner,Christopher Nicholas Smith,Chloe Csengery,6,N,68,51,1.03993239E8,Horror, , ,no
Greg Mottola,Simon Pegg,Nick Frost,Mia Stallard,Simon Pegg,Nick Frost,9,N,71,62,3.7371385E7,Adventure,Comedy,Sci-Fi,no
Chris Miller,Charles Perrault,Tom Wheeler,Antonio Banderas,Salma Hayek,Zach Galifianakis,50,N,84,67,1.49234747E8,Animation,Action,Adventure,no
Gore Verbinski,John Logan,John Logan,Johnny Depp,Isla Fisher,Abigail Breslin,70,N,87,69,1.23188232E8,Animation,Adventure,Comedy,no
Shawn Levy,John Gatins,Dan Gilroy,Hugh Jackman,Dakota Goyo,Evangeline Lilly,8,N,59,73,8.5463309E7,Action,Drama,Family,no
Kevin Smith,Kevin Smith, ,Michael Angarano,Deborah Aquila,Nicholas Braun,10,N,59,54,1000000.0,Action,Crime,Horror,no
Carlos Saldanha,Carlos Saldanha,Earl Richey Jones,Karen Disher,Jason Fricchione,Sofia Scarpa Saldanha,32,N,72,71,1.43613651E8,Animation,Adventure,Comedy,no
Rupert Wyatt,Rick Jaffa,Amanda Silver,Andy Serkis,Karin Konoval,Terry Notary,62,N,82,77,1.753E8,Action,Drama,Sci-Fi,no
Wes Craven,Kevin Williamson, ,Lucy Hale,Roger Jackson,Shenae Grimes-Beech,7,N,59,55,3.8176892E7,Horror,Mystery, ,no
Guy Ritchie,Michele Mulroney,Kieran Mulroney,Robert Downey Jr.,Jude Law,Noomi Rapace,13,N,60,77,1.86830669E8,Action,Adventure,Crime,no
Duncan Jones,Ben Ripley, ,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,9,N,92,81,5.4696902E7,Mystery,Sci-Fi,Thriller,no
J.J. Abrams,J.J. Abrams, ,Joel Courtney,Jessica Tuck,Joel McKinnon Miller,73,N,82,75,1.26975169E8,Mystery,Sci-Fi,Thriller,no
J.J. Abrams,J.J. Abrams, ,Joel Courtney,Jessica Tuck,Joel McKinnon Miller,73,N,82,75,1.26975169E8,Mystery,Sci-Fi,Thriller,no
Jeff Nichols,Jeff Nichols, ,Michael Shannon,Jessica Chastain,Tova Stewart,76,N,92,81,1600000.0,Drama,Thriller, ,no
Michael Pavone,Michael Pavone, ,Ed Harris,Chase Ellison,Molly Parker,1,N,60,68, ,Comedy,Drama,Romance,no
Kenneth Branagh,Ashley Miller,Zack Stentz,Chris Hemsworth,Natalie Portman,Tom Hiddleston,34,N,77,76,1.81015141E8,Action,Adventure,Fantasy,no
Brett Ratner,Adam Cooper,Bill Collage,Ben Stiller,Eddie Murphy,Casey Affleck,3,N,68,48,7.8009155E7,Action,Comedy,Crime,no
Terrence Malick,Terrence Malick, ,Brad Pitt,Sean Penn,Jessica Chastain,219,N,84,60,1.3303319E7,Drama,Fantasy, ,no
Jaume Collet-Serra,Oliver Butcher,Stephen Cornwell,Liam Neeson,Diane Kruger,January Jones,3,N,56,55,6.3677735E7,Action,Mystery,Thriller,no
Todd Strauss-Schulson,Jon Hurwitz,Hayden Schlossberg,Patton Oswalt,Isabella Gielniak,Kal Penn,1,N,68,59,3.44E7,Adventure,Comedy, ,no
Gavin O'Connor,Gavin O'Connor,Anthony Tambakis,Joel Edgerton,Tom Hardy,Nick Nolte,27,N,82,92,1.36E7,Drama,Sport, ,no
Francis Lawrence,Richard LaGravenese,Sara Gruen,Reese Witherspoon,Robert Pattinson,Christoph Waltz,14,N,60,70,5.8700247E7,Drama,Romance, ,no
Leythum,Eric Pearson, ,Clark Gregg,Jessica Manuel,Jeff Prewett,0,N,N/A,N/A, ,Short,Action,Sci-Fi,no
Cameron Crowe,Aline Brosh McKenna,Cameron Crowe,Matt Damon,Scarlett Johansson,Thomas Haden Church,9,N,66,71,7.27E7,Comedy,Drama,Family,no
Tom McCarthy,Tom McCarthy,Tom McCarthy,Paul Giamatti,Amy Ryan,Bobby Cannavale,27,N,94,85,1.01E7,Comedy,Drama,Sport,no
Stephen J. Anderson,Stephen J. Anderson,Clio Chiang,John Cleese,Jim Cummings,Bud Luckey,27,N,90,80,2.6687172E7,Animation,Adventure,Comedy,no
Matthew Vaughn,Ashley Miller,Zack Stentz,James McAvoy,Laurence Belcher,Michael Fassbender,55,N,86,87,1.453E8,Action,Adventure,Sci-Fi,no
Jason Reitman,Diablo Cody, ,Charlize Theron,Patton Oswalt,Patrick Wilson,33,N,80,49,1.6295033E7,Comedy,Drama, ,no
Phil Lord,Michael Bacall,Michael Bacall,Jonah Hill,Channing Tatum,Brie Larson,29,N,85,82,1.34E8,Action,Comedy,Crime,no
Eric W. Williams,Eric W. Williams, ,Dave Nemeth,Tisha Rivera,Christianne Christensen,0,N,N/A,N/A, ,Drama, , ,no
Ryan Smith,Jason Parish,Ryan Smith,Steven Strait,Karolina Wydra,Madison Lintz,0,N,N/A,38, ,Fantasy,Horror,Mystery,no
Steven C. Miller,Ben Powell, ,Ryan Hartwig,Fabianne Therese,Ray Wise,2,N,N/A,49, ,Action,Crime,Thriller,no
Jordan Galland,Jordan Galland, ,Kris Lemche,Brooke Nevin,Joey Kern,0,N,N/A,23, ,Comedy, , ,no
Marc Webb,James Vanderbilt,Alvin Sargent,Andrew Garfield,Emma Stone,Rhys Ifans,33,N,72,77,2.62030663E8,Action,Adventure, ,no
Travis Fine,Travis Fine,George Arthur Bloom,Alan Cumming,Garret Dillahunt,Isaac Leyva,18,N,79,76,200002.0,Drama, , ,no
Gabriel Sabloff,Timothy Ratajczak,Gabriel Sabloff,Robert Loggia,Bruce Marchiano,Laurence Fuller,0,N,N/A,77, ,Drama,History, ,no
Nicholas Jarecki,Nicholas Jarecki, ,Richard Gere,Susan Sarandon,Tim Roth,9,N,86,62,7918283.0,Drama,Thriller, ,no
Olivia Silver,Olivia Silver, ,Ryan Simpkins,Ty Simpkins,Kendall Toole,4,N,60,42, ,Drama, , ,no
Ben Affleck,Chris Terrio,Tony Mendez,Ben Affleck,Bryan Cranston,Alan Arkin,245,N,96,90,1.36019448E8,Biography,Drama,History,yesDrama
Doug Karr,Nuno Viera Faustino,Doug Karr,Joseph Cross,Jessica Szohr,Joey Lauren Adams,0,N,N/A,44, ,Comedy, , ,no
Joss Whedon,Joss Whedon,Zak Penn,Robert Downey Jr.,Chris Evans,Mark Ruffalo,110,N,92,91,6.23279547E8,Action,Sci-Fi, ,no
Leslye Headland,Leslye Headland,Leslye Headland,Kirsten Dunst,Rebel Wilson,Lizzy Caplan,2,N,56,34,400000.0,Comedy,Romance, ,no
William Lau,Elise Allen, ,Kelly Sheridan,Ashleigh Ball,Kathleen Barr,2,N,N/A,78, ,Animation,Family,Fantasy,no
Jay Oliva,Bob Kane,Frank Miller,Peter Weller,Ariel Winter,David Selby,5,N,100,93, ,Animation,Action,Adventure,no
Jeremy Gardner,Jeremy Gardner, ,Jeremy Gardner,Adam Cronheim,Niels Bolle,8,N,N/A,N/A, ,Adventure,Drama,Horror,no
Barry Levinson,Michael Wallach,Barry Levinson,Nansi Aluka,Christopher Denham,Stephen Kunken,2,N,77,43,30474.0,Horror,Mystery,Sci-Fi,no
Douglas Langway,Douglas Langway, ,Kathy Najimy,Kevin Smith,Richard Riehle,0,N,N/A,74, ,Comedy,Romance, ,no
Benh Zeitlin,Lucy Alibar,Benh Zeitlin,Quvenzhané Wallis,Dwight Henry,Levy Easterly,219,N,86,76,1.2784397E7,Drama,Fantasy, ,no
N/A,N/A, ,Rob Adler,Topher Grace,Matthew Gray Gubler,0,N,N/A,N/A, ,Short,Romance, ,no
Artie Mandelberg,Dylan Schaffer, ,Jamie Kennedy,Adam Copeland,Jennifer Esposito,0,N,N/A,34, ,Comedy,Crime, ,no
Ken Kwapis,Jack Amiel,Michael Begler,John Pingayak,Ahmaogak Sweeney,John Chase,1,N,73,64,2.0113965E7,Biography,Drama,Romance,no
Ben Jones,Douglas Langdale, ,Frank Welker,Mindy Cohn,Grey Griffin,0,N,N/A,80, ,Animation,Family,Fantasy,no
Tony Gilroy,Tony Gilroy,Dan Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,12,N,56,58,1.13165635E8,Action,Adventure,Mystery,no
Mark Andrews,Brenda Chapman,Mark Andrews,Kelly Macdonald,Billy Connolly,Emma Thompson,66,N,78,76,2.37282182E8,Animation,Adventure,Comedy,no
Anthony L. Coleman,Anthony L. Coleman, ,Anthony L. Coleman,Diovanni Theresa Chapman,Juan Knowles,0,N,84,78,4.4667095E7,Music, , ,no
Danny Zeff,Rachel Pearl, ,Adrian Schemm,Austin Chandra,Jim Fath,0,N,N/A,N/A, ,Short,Comedy, ,no
Drew Goddard,Joss Whedon,Drew Goddard,Kristen Connolly,Chris Hemsworth,Anna Hutchison,51,N,92,73,4.2043633E7,Horror,Mystery,Thriller,no
Marshall Lewy,Marshall Lewy, ,Robert Carlyle,Danny Masterson,Kathleen Wilhoite,7,N,67,53,15328.0,Drama, , ,no
Odin Ozdil,Odin Ozdil, ,Michael Ironside,Rutina Wesley,Erick Avari,0,N,N/A,N/A, ,Drama,History, ,no
Jay Roach,Chris Henchy,Shawn Harwell,Will Ferrell,Zach Galifianakis,Jason Sudeikis,6,N,64,51,8.6897182E7,Comedy, , ,no
Adam Christian Clark,Adam Christian Clark, ,Marguerite Moreau,Elizabeth Tulloch,David Giuntoli,3,N,80,53, ,Drama, , ,no
Rel Dowdell,Aaron R. Astillero,Rel Dowdell,Jakobi Alvin,Suzzanne Douglas,Thomas Staten,0,N,83,80, ,Action,Crime,Drama,no
T.L. Lankford,Joe R. Lansdale,Keith Lansdale,Damian Maffei,Brad Maule,Chet Williamson,0,N,N/A,N/A, ,Horror, , ,no
Josh Trank,Max Landis,Max Landis,Dane DeHaan,Alex Russell,Michael B. Jordan,8,N,85,71,6.08E7,Sci-Fi,Thriller, ,no
Sam Kadi,Jazmen Darnell Brown,Sam Kadi,Khaled Nabawy,Agnes Bruckner,Rizwan Manji,6,N,N/A,57,24296.0,Drama, , ,no
Tom Tykwer,David Mitchell,Lana Wachowski,Tom Hanks,Halle Berry,Jim Broadbent,89,N,66,66,2.21E7,Drama,Sci-Fi, ,no
Derrick Sims,Derrick Sims, ,Michael Ray Davis,Thor Wahlestedt,Elise Rovinsky,3,N,N/A,73, ,Drama,Thriller, ,no
Craig Zobel,Craig Zobel, ,Ann Dowd,Matt Servitto,Dreama Walker,40,N,89,60,318622.0,Biography,Crime,Drama,no
Timothy Armstrong,Timothy Armstrong,Stephan Blinn,Bailee Madison,Dusta Kimzey,Richard Levi,5,N,N/A,79,119782.0,Family, , ,no
Christopher Nolan,Jonathan Nolan,Christopher Nolan,Christian Bale,Gary Oldman,Tom Hardy,135,N,87,90,4.48130642E8,Action,Thriller, ,no
Nathan Frankowski,Kate King Lynch,Nathan Frankowski,Kat Dennings,Chad Michael Murray,Rupert Friend,9,N,N/A,N/A, ,Biography,Drama,Music,no
Jared Moshe,Jared Moshe, ,Barlow Jacobs,Clare Bowen,David Call,3,N,71,54,29634.0,Drama,Western, ,no
Larry Charles,Sacha Baron Cohen,Alec Berg,Sacha Baron Cohen,Sayed Badreya,Rocky Citron,2,N,57,44,5.77E7,Comedy,Romance, ,no
Quentin Tarantino,Quentin Tarantino, ,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,198,N,88,91,1.62804648E8,Drama,Western, ,yesDrama
Jay Duplass,Jay Duplass,Mark Duplass,Mark Kelly,Steve Zissis,Jennifer Lafleur,1,N,74,55,10000.0,Comedy, , ,no
Corey Grant,Corey Grant, ,Stacey Dash,Wesley Jonathan,Jason Weaver,1,N,N/A,53, ,Comedy,Drama, ,no
Megan Griffiths,Richard B. Phillips,Megan Griffiths,Jamie Chung,Beau Bridges,Matt O'Leary,13,N,82,68, ,Crime,Drama, ,no
Mark Webber,Mark Webber, ,Issac Love,Mark Webber,Amanda Seyfried,1,N,59,46,8326.0,Drama, , ,no
David Ayer,David Ayer, ,Jake Gyllenhaal,Michael Peña,Natalie Martinez,13,N,85,86,3.91E7,Crime,Drama,Thriller,no
Howie Askins,Ryan McCoy, ,Ryan McCoy,Brett Rosenberg,Ashley Bracken,0,N,N/A,N/A, ,Horror,Mystery,Sci-Fi,no
Richard Bates Jr.,Richard Bates Jr., ,AnnaLynne McCord,Roger Bart,Ariel Winter,21,N,81,61, ,Drama,Horror, ,no
Simon West,Richard Wenk,Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,8,N,66,67,8.5017401E7,Action,Adventure,Thriller,no
Edward Burns,Edward Burns, ,Kerry Bishé,Edward Burns,Heather Burns,0,N,64,49, ,Drama, , ,no
Nicholas Stoller,Jason Segel,Nicholas Stoller,Jason Segel,Emily Blunt,Chris Pratt,0,N,63,52,2.864477E7,Comedy,Romance, ,no
Michael Damian,Jennifer Robinson, ,Clint Black,Lisa Hartman,Kacey Rohl,1,N,N/A,52, ,Family, , ,no
Robert Zemeckis,John Gatins, ,Nadine Velazquez,Denzel Washington,Carter Cabassa,59,N,78,75,8.94E7,Drama,Thriller, ,no
So Yong Kim,So Yong Kim, ,Paul Dano,Peter Roberts,William Roberts,4,N,66,37, ,Drama, , ,no
Lawrence Roeck,Carlos De Los Rios,Lawrence Roeck,Lauren Bacall,Josh Hutcherson,Alfred Molina,0,N,N/A,67, ,Drama, , ,no
Nate Taylor,Peter Moore Smith, ,Christopher Denham,Lindsay Beamish,Elizabeth Rice,3,N,71,60, ,Drama,Thriller, ,no
Tim Burton,Leonard Ripps,Tim Burton,Catherine O'Hara,Martin Short,Martin Landau,59,N,87,70,3.5287788E7,Animation,Comedy,Family,no
Jonathan Lisecki,Jonathan Lisecki, ,Jenn Harris,Anna Margaret Hollyman,Matthew Wilkas,7,N,90,55, ,Comedy,Drama,Romance,no
Simon Janes,Simon Janes,Jonathan Parramint,Ruth Bird,Meryl Keeble,Murray Melvin,0,N,N/A,N/A, ,Short,Comedy,Crime,no
Damon O'Steen,N/A, ,Michael J. Gallagher,Olga Kay,Joe Nation,0,N,N/A,N/A, ,Short,Thriller, ,no
Todd Louiso,Sarah Koskoff, ,Melanie Lynskey,Blythe Danner,John Rubinstein,3,N,75,54,83814.0,Comedy,Drama,Romance,no
David Frankel,Vanessa Taylor, ,Meryl Streep,Tommy Lee Jones,Steve Carell,6,N,75,56,6.33E7,Comedy,Drama,Romance,no
