Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Lou Kennedy,Raymond Mahoney,Tao-Liang Tan,Jonathan Ke Quan,Eddie Saavedra,Ed Neil,0,N,N/A,68, ,Action,Drama, ,no
Roy Campanella II,Roy Campanella II, ,Phill Lewis,Carl Lumbly,Moses Gunn,2,N,N/A,50, ,Fantasy,Sci-Fi, ,no
Barry Levinson,James Toback,Dean Jennings,Warren Beatty,Annette Bening,Harvey Keitel,43,N,85,69, ,Biography,Crime,Drama,yesDrama
Jeremy Kagan,James Donadio,John McDonald,F. Murray Abraham,Eric Roberts,Mia Sara,0,N,N/A,77, ,Adventure,Drama,Sport,no
Martin Scorsese,John D. MacDonald,James R. Webb,Robert De Niro,Nick Nolte,Jessica Lange,20,N,76,77, ,Crime,Thriller, ,no
John Sayles,John Sayles, ,Vincent Spano,Stephen Mendillo,Chris Cooper,9,N,94,80, ,Crime,Drama, ,no
Ron Underwood,Lowell Ganz,Babaloo Mandel,Billy Crystal,Daniel Stern,Bruno Kirby,14,N,90,64, ,Comedy, , ,yesComedy
Michael Apted,Carolyn Shelby,Christopher Ames,Gene Hackman,Mary Elizabeth Mastrantonio,Colin Friels,1,N,75,50, ,Drama,Thriller, ,no
Nicolas Roeg,Brian Moore,Allan Scott,Theresa Russell,Mark Harmon,James Russo,0,N,N/A,22, ,Drama,Mystery,Romance,no
Alan Parker,Roddy Doyle,Dick Clement,Robert Arkins,Michael Aherne,Angeline Ball,19,N,88,90, ,Comedy,Drama,Music,yesComedy
Nicholas Meyer,Nicholas Meyer, ,Gene Hackman,Mikhail Baryshnikov,Kurtwood Smith,0,N,N/A,32, ,Action,Comedy,Crime,no
Errol Morris,Tony Hillerman,Neal Jimenez,Lance Baker,Betty C. Barlow,Gary Basaraba,0,N,N/A,20, ,Drama,Mystery, ,no
Julie Dash,Julie Dash, ,Cora Lee Day,Alva Rogers,Barbarao,4,N,96,70,21692.0,Drama,Romance, ,no
Kenneth Branagh,Scott Frank, ,Kenneth Branagh,Andy Garcia,Derek Jacobi,6,N,83,77, ,Crime,Drama,Mystery,no
Albert Brooks,Albert Brooks, ,Albert Brooks,Michael Durrell,James Eckhouse,4,N,97,83, ,Comedy,Drama,Fantasy,no
Martin Campbell,James Hicks,Jeff Burkhart,Barbara Hershey,Sam Shepard,Mary Beth Hurt,0,N,N/A,41, ,Mystery,Thriller, ,no
Michael Caton-Jones,Neil B. Shulman,Laurian Leggett,Michael J. Fox,Julie Warner,Barnard Hughes,0,N,73,50, ,Comedy,Drama,Romance,no
Randa Haines,Ed Rosenbaum,Robert Caswell,William Hurt,Christine Lahti,Elizabeth Perkins,3,N,86,72, ,Drama, , ,no
Nancy Savoca,Bob Comfort, ,River Phoenix,Lili Taylor,Richard Panebianco,0,N,76,86, ,Comedy,Drama,Romance,no
Stephen Herek,Neil Landau,Tara Ison,Christina Applegate,Joanna Cassidy,Josh Charles,4,N,N/A,N/A, ,Comedy, , ,no
Oliver Stone,Randall Jahnson,Oliver Stone,Val Kilmer,Meg Ryan,Kyle MacLachlan,3,N,54,80, ,Biography,Drama,Music,no
